Features,Scores
Mean Temp (°C),-0.5487897388510637
Total Precip (mm),0.1641707580088675
Total Rain (mm),0.14125895830198923
Total Snow (cm),0.14624486628292174
Snow on Grnd (cm),0.007714037922493453
New_cases,0.37160751884502335
New_hospitalized,0.236554593230538
New_icu,0.1035662722744038
First_day,0.07628261954784478
Stayhome_Order,0.2180310654924791
