Mean Temp (°C),Total Precip (mm),Total Rain (mm),Total Snow (cm),Snow on Grnd (cm),New_cases,New_hospitalized,New_icu,First_day,Stayhome_Order,std_sd_score
8.760000000000002,0.31999999999999995,0.27999999999999997,0.0,0.4,401.0,47.0,0.0,0.0,1.0,86.07809847198642
8.26,10.5,9.36,0.0,0.4,421.0,22.0,0.0,0.0,1.0,84.88964346349745
2.1,0.27999999999999997,0.0,0.48,0.4,483.0,9.0,0.0,1.0,1.0,77.07979626485569
-0.13999999999999999,0.0,0.0,0.0,0.0,494.0,26.0,0.0,0.0,1.0,79.45670628183362
-0.27999999999999997,0.0,0.0,0.0,0.0,514.0,12.0,0.0,0.0,1.0,78.77758913412563
0.8,0.08,0.0,0.0,0.0,564.0,22.0,0.0,0.0,1.0,79.79626485568761
3.7,0.0,0.0,0.0,0.0,485.0,-1.0,0.0,0.0,1.0,69.77928692699491
4.9,1.9600000000000002,1.8800000000000001,0.0,0.0,568.0,-19.0,0.0,0.0,1.0,77.41935483870968
1.58,0.0,0.0,0.0,0.0,606.0,-7.0,0.0,0.0,1.0,73.68421052631578
2.62,2.02,1.2,0.4,0.2,551.0,57.0,0.0,0.0,1.0,81.83361629881153
0.6200000000000001,0.08,0.0,0.12,0.4,510.0,19.0,0.0,0.0,1.0,77.75891341256367
1.9400000000000002,0.48,0.48,0.0,0.4,634.0,9.0,0.0,0.0,1.0,77.24957555178268
5.180000000000001,0.0,0.0,0.0,0.4,640.0,23.0,0.0,0.0,1.0,76.91001697792869
5.619999999999999,0.16,0.16,0.0,0.4,476.0,15.0,0.0,0.0,1.0,62.30899830220713
7.160000000000001,2.92,2.92,0.0,0.4,437.0,13.0,0.0,0.0,1.0,76.06112054329371
8.26,0.0,0.0,0.0,0.4,424.0,7.0,0.0,0.0,1.0,67.74193548387096
9.580000000000002,0.24000000000000005,0.16,0.0,0.4,525.0,12.0,0.0,0.0,1.0,70.45840407470288
11.12,1.44,0.6799999999999999,0.0,0.4,347.0,20.0,0.0,0.0,1.0,78.09847198641766
11.959999999999999,10.66,7.6,0.0,0.4,459.0,22.0,0.0,0.0,1.0,75.72156196943973
10.4,1.9600000000000002,0.86,0.0,0.4,421.0,18.0,244.0,0.0,1.0,68.76061120543294
10.6,0.48,0.48,0.0,0.4,511.0,-40.0,-8.0,0.0,1.0,64.85568760611206
13.580000000000002,0.06,0.06,0.0,0.4,434.0,33.0,10.0,0.0,1.0,51.95246179966044
6.180000000000001,0.0,0.0,0.0,0.4,370.0,-26.0,-3.0,0.0,1.0,70.79796264855688
5.04,0.0,0.0,0.0,0.4,387.0,59.0,0.0,0.0,1.0,68.42105263157895
7.959999999999999,0.0,0.0,0.0,0.4,412.0,-11.0,-3.0,1.0,1.0,66.21392190152801
7.859999999999999,0.08,0.08,0.0,0.4,399.0,1.0,-6.0,0.0,1.0,69.77928692699491
1.6600000000000001,0.0,0.0,0.08,0.4,477.0,-5.0,-4.0,0.0,1.0,73.85398981324278
1.34,0.24000000000000005,0.0,0.16,0.4,346.0,-12.0,-12.0,0.0,1.0,68.59083191850594
4.88,0.4,0.16,0.0,0.4,294.0,-55.0,-7.0,0.0,1.0,62.478777589134125
3.4200000000000004,3.94,1.9600000000000002,0.6399999999999999,0.4,308.0,66.0,4.0,0.0,1.0,73.5144312393888
3.12,0.0,0.0,0.0,0.4,361.0,-2.0,-4.0,0.0,1.0,67.91171477079796
5.02,0.0,0.0,0.0,0.4,329.0,-7.0,-4.0,0.0,1.0,60.441426146010194
8.459999999999999,2.1,1.6800000000000002,0.0,0.4,345.0,8.0,-6.0,0.0,1.0,70.62818336162988
